candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 4.878321s
it: 0, population size: 254, mean fitness: 173.337, best fitness: 818.174
it: 38, population size: 178, mean fitness: 620.78, best fitness: 1085.57
it: 39, population size: 176, mean fitness: 659.262, best fitness: 1085.57
it: 40, population size: 174, mean fitness: 662.94, best fitness: 1085.57
it: 41, population size: 172, mean fitness: 672.579, best fitness: 1085.57
it: 42, population size: 170, mean fitness: 683.489, best fitness: 1085.57
it: 43, population size: 168, mean fitness: 716.9, best fitness: 1085.57
it: 44, population size: 166, mean fitness: 697.1, best fitness: 1085.57
it: 45, population size: 164, mean fitness: 651.762, best fitness: 1085.57
it: 46, population size: 162, mean fitness: 677.266, best fitness: 1108.24
it: 47, population size: 160, mean fitness: 661.024, best fitness: 1108.24
it: 48, population size: 158, mean fitness: 697.983, best fitness: 1108.24
it: 49, population size: 156, mean fitness: 723.221, best fitness: 1108.24
it: 50, population size: 154, mean fitness: 671.464, best fitness: 1108.24
it: 51, population size: 152, mean fitness: 653.373, best fitness: 1108.24
it: 52, population size: 150, mean fitness: 662.957, best fitness: 1108.24
it: 53, population size: 148, mean fitness: 676.259, best fitness: 1108.24
it: 54, population size: 146, mean fitness: 700.512, best fitness: 1108.24
it: 55, population size: 144, mean fitness: 690.867, best fitness: 1108.24
it: 56, population size: 142, mean fitness: 661.439, best fitness: 1108.24
it: 57, population size: 140, mean fitness: 661.896, best fitness: 1108.24
it: 58, population size: 138, mean fitness: 648.891, best fitness: 1108.24
it: 59, population size: 136, mean fitness: 644.027, best fitness: 1108.24
it: 60, population size: 134, mean fitness: 659.764, best fitness: 1108.24
it: 61, population size: 132, mean fitness: 709.091, best fitness: 1108.24
it: 62, population size: 130, mean fitness: 696.545, best fitness: 1108.24
it: 63, population size: 128, mean fitness: 710.95, best fitness: 1108.24
it: 64, population size: 126, mean fitness: 673.16, best fitness: 1108.24
it: 65, population size: 124, mean fitness: 725.606, best fitness: 1108.24
it: 66, population size: 122, mean fitness: 645.905, best fitness: 1108.24
it: 67, population size: 120, mean fitness: 643.909, best fitness: 1108.24
it: 68, population size: 118, mean fitness: 674.882, best fitness: 1108.24
it: 69, population size: 116, mean fitness: 647.583, best fitness: 1108.24
it: 70, population size: 114, mean fitness: 693.534, best fitness: 1108.24
it: 71, population size: 112, mean fitness: 731.579, best fitness: 1108.24
it: 72, population size: 110, mean fitness: 660.812, best fitness: 1108.24
it: 73, population size: 108, mean fitness: 627.881, best fitness: 1108.24
it: 74, population size: 106, mean fitness: 688.715, best fitness: 1108.24
it: 75, population size: 104, mean fitness: 709.462, best fitness: 1108.24
it: 76, population size: 102, mean fitness: 696.189, best fitness: 1108.24
it: 77, population size: 100, mean fitness: 765.309, best fitness: 1108.24
it: 78, population size: 100, mean fitness: 729.98, best fitness: 1108.24
it: 79, population size: 100, mean fitness: 749.063, best fitness: 1108.24
it: 80, population size: 100, mean fitness: 710.527, best fitness: 1108.24
it: 81, population size: 100, mean fitness: 677.796, best fitness: 1108.24
it: 82, population size: 100, mean fitness: 734.481, best fitness: 1108.24
it: 83, population size: 100, mean fitness: 742.377, best fitness: 1108.24
it: 84, population size: 100, mean fitness: 677.144, best fitness: 1108.24
it: 85, population size: 100, mean fitness: 697.214, best fitness: 1108.24
it: 86, population size: 100, mean fitness: 718.372, best fitness: 1108.24
it: 87, population size: 100, mean fitness: 697.302, best fitness: 1108.24
it: 88, population size: 100, mean fitness: 669.531, best fitness: 1108.24
it: 89, population size: 100, mean fitness: 632.665, best fitness: 1108.24
it: 90, population size: 100, mean fitness: 674.327, best fitness: 1108.24
it: 91, population size: 100, mean fitness: 687.304, best fitness: 1108.24
it: 92, population size: 100, mean fitness: 669.647, best fitness: 1108.24
it: 93, population size: 100, mean fitness: 693.585, best fitness: 1108.24
it: 94, population size: 100, mean fitness: 704.069, best fitness: 1108.24
it: 95, population size: 100, mean fitness: 650.885, best fitness: 1108.24
it: 96, population size: 100, mean fitness: 721.082, best fitness: 1134.32
it: 97, population size: 100, mean fitness: 723.03, best fitness: 1134.32
it: 98, population size: 100, mean fitness: 696.718, best fitness: 1134.32
it: 99, population size: 100, mean fitness: 743.906, best fitness: 1134.32
